"skolenhetskod","resursskola"
"59137023",TRUE
"73656861",TRUE
"73075913",TRUE
"49262000",TRUE
"24786160",TRUE
"48184058",TRUE
"53259263",TRUE
"28138418",TRUE
"16928929",TRUE
"72495418",TRUE
"76247708",TRUE
"78396564",TRUE
"93141175",TRUE
"43911053",TRUE
"50038287",TRUE
"81862260",TRUE
"94502924",TRUE
"98705470",TRUE
"35784391",TRUE
"49419007",TRUE
"16337532",TRUE
"26843745",TRUE
"28145722",TRUE
"19676761",TRUE
"84230778",TRUE
"88046548",TRUE
"98693413",TRUE
"94296255",TRUE
"55209463",TRUE
"37297559",TRUE
"93569920",TRUE
"27560810",TRUE
"23656786",TRUE
"31356056",TRUE
"12377376",TRUE
"13954336",TRUE
"29585776",TRUE
"89893224",TRUE
"40341856",TRUE
"64662433",TRUE
"50936464",TRUE
"91728040",TRUE
"10682125",TRUE
"31237949",TRUE
"24671487",TRUE
"56167054",TRUE
"79956863",TRUE
"67731691",TRUE
"98515782",TRUE
"38730714",TRUE
"49455969",TRUE
"14945659",TRUE
"51578532",TRUE
"14845171",TRUE
"99622911",TRUE
"97537055",TRUE
"54332921",TRUE
"82448624",TRUE
"64971454",TRUE
"81535814",TRUE
"60521412",TRUE
"80096894",TRUE
"22504161",TRUE
"68370166",TRUE
"24877681",TRUE
"69821416",TRUE
"44977491",TRUE
"26804905",TRUE
"78193353",TRUE
"81453817",TRUE
"87544967",TRUE
"39169577",TRUE
"25265720",TRUE
"94242496",TRUE
"77844194",TRUE
"25519969",TRUE
"46840018",TRUE
"90207041",TRUE
"80561156",TRUE
"26343031",TRUE
"93301103",TRUE
"23414344",TRUE
"90410822",TRUE
"29257251",TRUE
"97205555",TRUE
"48791751",TRUE
"82151850",TRUE
"38096510",TRUE
"27319904",TRUE
"34125463",TRUE
"39175098",TRUE
"98343454",TRUE
"89494668",TRUE
"13421734",TRUE
"84891659",TRUE
"23477041",TRUE
"40172619",TRUE
"54270895",TRUE
"16223141",TRUE
"73178642",TRUE
"85504910",TRUE
"41600127",TRUE
"26480342",TRUE
"63150475",TRUE
"76849293",TRUE
"74792256",TRUE
"85200474",TRUE
"57034070",TRUE
"14872951",TRUE
"39922552",TRUE
"64745639",TRUE
"90553565",TRUE
"79427132",TRUE
"57510246",TRUE
"72509254",TRUE
"59457803",TRUE
"49104656",TRUE
"92466719",TRUE
"17669293",TRUE
"36022766",TRUE
"41596705",TRUE
"45984740",TRUE
"24121348",TRUE
"70122435",TRUE
"38081093",TRUE
"62848263",TRUE
"73443217",TRUE
"86939179",TRUE
"49008533",TRUE
"29270748",TRUE
